title,genres,network,watchers
Cruel City,"Genres: Action, Thriller, Romance, Crime",Original Network: jTBC,24768
Ancient Love Poetry,"Genres: Romance, Wuxia, Drama, Fantasy",Original Network: Tencent Video,18803
Forever Love,"Genres: Comedy, Romance, Youth, Drama",Original Network: Tencent Video,19268
My Father Is Strange,"Genres: Comedy, Romance, Drama",Original Network: KBS2,30111
Duty After School: Part 1,"Genres: Action, Thriller, Drama, Sci-Fi",Original Network: TVING,21424
Avengers Social Club,"Genres: Comedy, Life, Drama",Original Network: tvN,15636
Nobody Knows,"Genres: Thriller, Mystery, Drama, Melodrama",Original Network: SBS,18731
In Family We Trust,"Genres: Thriller, Mystery, Drama",Original Network: GMM One,3079
Love to Hate You,"Genres: Comedy, Law, Romance",Original Network: Netflix,42187
MIU 404,"Genres: Mystery, Comedy",Original Network: TBS,4629
Designated Survivor: 60 Days,"Genres: Thriller, Mystery, Drama, Political","Original Network: Netflix, tvN",15231
Reborn Rich,"Genres: Business, Drama, Fantasy, Political","Original Network: jTBC, ViuTV",40047
Silent,"Genres: Romance, Life, Melodrama",Original Network: Fuji TV,14461
Enigma,"Genres: Mystery, Horror, Youth, Supernatural","Original Network: Amazon Prime, GMM 25",9852
Age of Youth,"Genres: Comedy, Romance, Life, Drama",Original Network: jTBC,61626
Boku no Ita Jikan,"Genres: Romance, Life, Drama, Melodrama",Original Network: Fuji TV,15604
Our Secret,"Genres: Romance, Life, Youth","Original Network: iQiyi, Mango TV",24608
Wonderland of Love,"Genres: Historical, Romance, Drama, Political",Original Network: Tencent Video,8852
Bad and Crazy,"Genres: Action, Thriller, Mystery, Comedy","Original Network: iQiyi, tvN",52555
Legend of Concubine Zhen Huan,"Genres: Historical, Drama, Melodrama, Political",Original Network: BTV,5717
