title,genres,network,watchers
Bokura wa Kiseki de Dekite Iru,"Genres: Life, Drama",Original Network: Fuji TV,2237
Pride,"Genres: Romance, Drama, Sports",Original Network: Fuji TV,8352
P.S. I Hate You,"Genres: Mystery, Romance, Drama","Original Network: GMM 25, ViuTV",4601
Saka no Tochu no Ie,"Genres: Thriller, Psychological, Law, Drama",Original Network: WOWOW,1712
God's Quiz: Reboot,"Genres: Mystery, Medical",Original Network: OCN,3574
Be Reborn,"Genres: Thriller, Mystery, Crime",Original Network: Youku,3668
Three Kingdoms,"Genres: Action, Military, Historical, Political",Original Network: CCTV,2546
Don't Disturb My Study,"Genres: Comedy, Romance, Life, Youth","Original Network: Hunan TV, Mango TV",8748
Arthdal Chronicles: The Sword of Aramun,"Genres: Action, Historical, Romance, Fantasy","Original Network: Disney+, tvN",10985
Cold Case: Shinjitsu no Tobira,"Genres: Thriller, Mystery, Drama",Original Network: WOWOW,3388
Vampire Prosecutor 2,"Genres: Action, Mystery, Drama, Supernatural",Original Network: OCN,8594
Team Bulldog: Off-duty Investigation,"Genres: Action, Mystery, Comedy, Drama",Original Network: OCN,8089
"At a Distance, Spring Is Green","Genres: Romance, Life, Youth","Original Network: iQiyi, KBS2, Viki",38023
A League of Nobleman,"Genres: Thriller, Historical, Mystery, Drama",Original Network: Tencent Video,10420
Divorce Attorney Shin,"Genres: Law, Drama","Original Network: jTBC, Netflix, TVING",9674
Class of Lies,"Genres: Thriller, Mystery, Law, Youth",Original Network: OCN,26483
The Forbidden Marriage,"Genres: Historical, Mystery, Comedy, Romance",Original Network: MBC,20414
Koi Desu: Yankee-kun to Hakujou Garu,"Genres: Comedy, Romance, Life",Original Network: NTV,8961
100 Days My Prince,"Genres: Historical, Comedy, Romance, Drama",Original Network: tvN,57962
King the Land,"Genres: Comedy, Romance","Original Network: jTBC, Netflix, TVING",67288
