title,genres,network,watchers
Train,"Genres: Thriller, Mystery, Sci-Fi",Original Network: OCN,20260
Memorist,"Genres: Action, Thriller, Mystery, Supernatural",Original Network: tvN,37217
Like in the Movies,"Genres: Comedy, Romance, Drama",na,19711
Konto ga Hajimaru,"Genres: Life, Youth, Drama",Original Network: NTV,2887
Scarlet Heart,"Genres: Historical, Romance, Drama, Political",Original Network: Hunan TV,13010
I'm Not a Robot,"Genres: Comedy, Romance, Drama, Sci-Fi",Original Network: MBC,125634
Be Melodramatic,"Genres: Comedy, Romance, Life, Melodrama","Original Network: jTBC, Viki",34201
Ruyi's Royal Love in the Palace,"Genres: Historical, Romance, Drama, Melodrama",Original Network: Tencent Video,6521
Duel,"Genres: Thriller, Mystery, Sci-Fi",Original Network: OCN,16244
The Mysterious Class,"Genres: Mystery, Horror, Youth, Supernatural",na,7132
When We Were Young,"Genres: Romance, Life, Youth",Original Network: Tencent Video,22061
"From Now On, Showtime!","Genres: Mystery, Comedy, Romance, Fantasy","Original Network: MBC, ViuTV",22739
Douluo Continent,"Genres: Comedy, Romance, Wuxia, Fantasy","Original Network: CCTV, Tencent Video",21457
My Calorie Boy,"Genres: Comedy, Romance, Youth","Original Network: iQiyi, Tencent Video",5794
Nanba MG5,"Genres: Action, Comedy, Youth, Drama",Original Network: Fuji TV,1552
Love You Seven Times,"Genres: Romance, Wuxia, Drama, Fantasy",Original Network: iQiyi,12873
Asa ga Kita,"Genres: Historical, Business, Life",Original Network: NHK,1866
My Country: The New Age,"Genres: Action, Historical, Romance, Drama","Original Network: jTBC, Netflix",23289
Pinocchio,"Genres: Thriller, Mystery, Comedy, Romance",Original Network: SBS,135289
Partners for Justice,"Genres: Thriller, Mystery, Law, Medical",Original Network: MBC,14877
