title,genres,network,watchers
Age of Youth Season 2,"Genres: Mystery, Comedy, Romance, Life",Original Network: jTBC,35175
Legend of Fu Yao,"Genres: Romance, Wuxia, Fantasy","Original Network: Tencent Video, ZJTV",23796
The Princess Wei Young,"Genres: Historical, Romance, Drama, Political","Original Network: BTV, Dragon TV",20994
Full House,"Genres: Comedy, Romance",Original Network: True4U,19601
Summer Strike,"Genres: Romance, Life, Drama, Melodrama","Original Network: ENA, Genie TV",28233
Exclusive Fairytale,"Genres: Romance, Youth, Family",Original Network: iQiyi,18203
Good Doctor,"Genres: Life, Drama, Medical",Original Network: Fuji TV,6710
Her Private Life,"Genres: Business, Comedy, Romance, Drama",Original Network: tvN,115779
Reunion: The Sound of the Providence,"Genres: Adventure, Mystery, Horror, Fantasy","Original Network: iQiyi, Youku",5267
Princess Pearl,"Genres: Historical, Comedy, Romance",Original Network: Hunan TV,3814
The Good Detective,"Genres: Action, Thriller, Mystery, Drama",Original Network: jTBC,16544
Doctor X Season 5,"Genres: Comedy, Drama, Medical",Original Network: TV Asahi,1458
Lie After Lie,"Genres: Thriller, Romance, Melodrama",Original Network: Channel A,11690
Daughters,"Genres: Life, Youth, Drama","Original Network: iQiyi, PPTV",2477
Gaus Electronics,"Genres: Business, Comedy, Romance, Life","Original Network: ENA, Genie TV",22719
Jumong,"Genres: Adventure, Historical, Romance, Drama",Original Network: MBC,8893
My Roommate Is a Detective,"Genres: Thriller, Historical, Mystery, Comedy",Original Network: iQiyi,13365
Kimi to Nara Koi wo Shite Mite mo,"Genres: Romance, Youth","Original Network: MBS, TVK",7801
The Legend of the Blue Sea,"Genres: Comedy, Romance, Drama, Fantasy",Original Network: SBS,127929
Sh**ting Stars,"Genres: Comedy, Romance, Drama",Original Network: tvN,61022
