title,year,episodes,country,viewer_score,rank,genres,network,watchers
One Ordinary Day,2021,8,Korean,8.5,227,"Genres: Thriller, Mystery, Law, Crime",Original Network: COUPANG TV,24245
W,2016,16,Korean,8.5,228,"Genres: Thriller, Comedy, Romance, Fantasy",Original Network: MBC,172876
My School President,2022,12,Thai,8.5,229,"Genres: Music, Comedy, Romance, Youth",Original Network: GMM 25,30292
"Soredemo, Ikite Yuku",2011,11,Japanese,8.5,230,"Genres: Psychological, Drama",Original Network: Fuji TV,5619
Stay with Me,2023,24,Chinese,8.5,231,"Genres: Life, Youth",Original Network: Youku,15354
The Day of Becoming You,2021,26,Chinese,8.5,232,"Genres: Comedy, Romance, Supernatural",Original Network: iQiyi,20027
Vagabond,2019,16,Korean,8.5,233,"Genres: Action, Thriller, Mystery, Crime","Original Network: Netflix, SBS",80456
Voice,2017,16,Korean,8.5,234,"Genres: Thriller, Mystery, Psychological, Supernatural",Original Network: OCN,37910
Hanzawa Naoki Season 2,2020,10,Japanese,8.5,235,"Genres: Thriller, Business, Drama",Original Network: TBS,1390
"Hi Bye, Mama!",2020,16,Korean,8.5,236,"Genres: Drama, Family, Melodrama, Supernatural","Original Network: Netflix, tvN",40348
Kairos,2020,16,Korean,8.5,237,"Genres: Action, Thriller, Drama, Sci-Fi",Original Network: MBC,18616
Ouroboros,2015,10,Japanese,8.5,238,"Genres: Action, Thriller, Mystery, Crime",Original Network: TBS,16035
SKZ Flix,2023,1,Korean,8.5,239,"Genres: Drama, Sci-Fi",na,855
To Fly With You,2021,35,Chinese,8.5,240,"Genres: Comedy, Romance, Youth, Sports","Original Network: Hunan TV, Tencent Video, ViuTV, Youku",11737
I Hear Your Voice,2013,18,Korean,8.5,241,"Genres: Mystery, Law, Romance, Supernatural",Original Network: SBS,89187
Girl From Nowhere,2018,13,Thai,8.5,242,"Genres: Mystery, Psychological, Drama, Supernatural",Original Network: GMM 25,35289
The World Between Us,2019,10,Taiwanese,8.5,243,"Genres: Law, Crime, Life, Drama",Original Network: PTS,2676
Fight for My Way,2017,16,Korean,8.5,244,"Genres: Business, Comedy, Romance, Sports",Original Network: KBS2,124173
Code Blue Season 3,2017,10,Japanese,8.5,245,"Genres: Drama, Medical",Original Network: Fuji TV,3594
Doctor John,2019,32,Korean,8.5,246,"Genres: Mystery, Romance, Life, Medical",Original Network: SBS,37930
Arsenal Military Academy,2019,48,Chinese,8.5,247,"Genres: Action, Military, Historical, Romance",Original Network: iQiyi,27007
Killer And Healer,2021,37,Chinese,8.5,248,"Genres: Thriller, Historical, Mystery, Crime",Original Network: Mango TV,11359
Dong Yi,2010,60,Korean,8.5,249,"Genres: Adventure, Historical, Mystery, Romance",Original Network: MBC,14346
One Dollar Lawyer,2022,12,Korean,8.5,250,"Genres: Comedy, Law, Drama",Original Network: SBS,17225
Kamen Rider W,2009,49,Japanese,8.5,251,"Genres: Action, Mystery, Tokusatsu, Sci-Fi",Original Network: TV Asahi,4022
The Sleuth of Ming Dynasty,2020,48,Chinese,8.5,252,"Genres: Historical, Mystery, Drama",Original Network: iQiyi,8787
The Bond,2021,36,Chinese,8.5,253,"Genres: Life, Drama",Original Network: Tencent Video,4897
Bad Genius,2020,12,Thai,8.5,254,"Genres: Thriller, Youth, Drama",Original Network: GMM One,4549
Back From the Brink,2023,40,Chinese,8.5,255,"Genres: Romance, Wuxia, Drama, Fantasy",Original Network: Youku,16372
Destined,2023,40,Chinese,8.5,256,"Genres: Historical, Business, Comedy, Romance","Original Network: CCTV, iQiyi",10817
Le Coup de Foudre,2019,35,Chinese,8.5,257,"Genres: Comedy, Romance, Life, Youth","Original Network: Tencent Video, Youku",25692
Guardian,2018,40,Chinese,8.5,258,"Genres: Thriller, Mystery, Fantasy",Original Network: Youku,24743
Reply 1997,2012,16,Korean,8.5,259,"Genres: Comedy, Romance, Life",Original Network: tvN,76448
The Blue Whisper: Part 2,2022,20,Chinese,8.5,260,"Genres: Romance, Wuxia, Fantasy",Original Network: Youku,9574
