title,year,episodes,country,viewer_score,rank,genres,network,watchers
Story of Kunning Palace,2023,38,Chinese,8.8,50,"Genres: Historical, Romance, Drama, Fantasy",Original Network: iQiyi,12316
Hikaru no Go,2020,36,Chinese,8.8,51,"Genres: Comedy, Drama, Sports, Supernatural",Original Network: iQiyi,8722
Imawa no Kuni no Alice Season 2,2022,8,Japanese,8.8,52,"Genres: Action, Thriller, Mystery, Psychological",Original Network: Netflix,41500
Tale of the Nine-Tailed 1938,2023,12,Korean,8.8,53,"Genres: Historical, Horror, Romance, Fantasy","Original Network: Amazon Prime, tvN",28038
More than Blue: The Series,2021,10,Taiwanese,8.8,54,"Genres: Music, Romance, Life, Melodrama",Original Network: Netflix,6563
Healer,2014,20,Korean,8.8,55,"Genres: Action, Thriller, Mystery, Romance",Original Network: KBS2,137704
The Story of Ming Lan,2018,78,Chinese,8.8,56,"Genres: Historical, Romance, Life, Drama",Original Network: Hunan TV,19853
Love Between Fairy and Devil,2022,36,Chinese,8.8,57,"Genres: Comedy, Romance, Wuxia, Fantasy",Original Network: iQiyi,40508
Mouse,2021,20,Korean,8.8,58,"Genres: Thriller, Mystery, Psychological, Sci-Fi",Original Network: tvN,55808
Imawa no Kuni no Alice,2020,8,Japanese,8.8,59,"Genres: Action, Thriller, Sci-Fi",Original Network: Netflix,80151
Goblin,2016,16,Korean,8.8,60,"Genres: Comedy, Romance, Fantasy, Melodrama",Original Network: tvN,216444
The Uncanny Counter,2020,16,Korean,8.8,61,"Genres: Action, Mystery, Drama, Supernatural","Original Network: Netflix, OCN",86874
Daily Dose of Sunshine,2023,12,Korean,8.8,62,"Genres: Life, Drama, Medical",Original Network: Netflix,22091
Stranger,2017,16,Korean,8.8,63,"Genres: Thriller, Mystery, Law, Drama","Original Network: Netflix, tvN",54233
Twenty-Five Twenty-One,2022,16,Korean,8.8,64,"Genres: Romance, Life, Drama, Melodrama","Original Network: Netflix, tvN",82820
The Red Sleeve,2021,17,Korean,8.8,65,"Genres: Historical, Romance, Drama, Melodrama","Original Network: MBC, Viki",39154
D.P.,2021,6,Korean,8.8,66,"Genres: Action, Military, Drama",Original Network: Netflix,51579
Eternal Love,2017,58,Chinese,8.8,67,"Genres: Romance, Wuxia, Drama, Fantasy",Original Network: ZJTV,43691
SKY Castle,2018,20,Korean,8.8,68,"Genres: Mystery, Psychological, Drama",Original Network: jTBC,66664
Taxi Driver,2021,16,Korean,8.8,69,"Genres: Action, Thriller, Crime, Drama",Original Network: SBS,56691
Missing: The Other Side Season 2,2022,14,Korean,8.8,70,"Genres: Thriller, Mystery, Supernatural",Original Network: tvN,7995
Kingdom,2019,6,Korean,8.8,71,"Genres: Thriller, Historical, Horror, Political",Original Network: Netflix,66202
Weightlifting Fairy Kim Bok Joo,2016,16,Korean,8.8,72,"Genres: Comedy, Romance, Life, Sports",Original Network: MBC,182311
Story of Yanxi Palace,2018,70,Chinese,8.8,73,"Genres: Historical, Romance, Drama",Original Network: iQiyi,17223
Youth of May,2021,12,Korean,8.8,74,"Genres: Romance, Youth, Drama, Melodrama",Original Network: KBS2,50813
Sword Snow Stride,2021,38,Chinese,8.7,75,"Genres: Wuxia, Drama, Fantasy, Melodrama","Original Network: CCTV, Tencent Video",10081
You Are My Glory,2021,32,Chinese,8.7,76,"Genres: Comedy, Romance, Life, Drama",Original Network: Tencent Video,47144
Through the Darkness,2022,12,Korean,8.7,77,"Genres: Thriller, Mystery, Crime, Drama",Original Network: SBS,18667
The Devil Judge,2021,16,Korean,8.7,78,"Genres: Mystery, Law, Crime, Drama",Original Network: tvN,53916
Dr. Romantic Season 2,2020,16,Korean,8.7,79,"Genres: Romance, Drama, Medical, Melodrama",Original Network: SBS,51984
Thai Cave Rescue,2022,6,Thai,8.7,80,Genres: Drama,"Original Network: Channel 3, Netflix",1962
Life on Mars,2018,16,Korean,8.7,81,"Genres: Action, Mystery, Psychological, Comedy",Original Network: OCN,28676
Love and Redemption,2020,59,Chinese,8.7,82,"Genres: Romance, Wuxia, Drama, Fantasy","Original Network: Mango TV, Tencent Video, Youku",25347
Racket Boys,2021,16,Korean,8.7,83,"Genres: Comedy, Life, Drama, Sports","Original Network: Netflix, SBS",26891
Dear My Friends,2016,16,Korean,8.7,84,"Genres: Life, Drama, Melodrama",Original Network: tvN,12902
Beyond Evil,2021,16,Korean,8.7,85,"Genres: Thriller, Mystery, Psychological, Drama",Original Network: jTBC,51462
Arthdal Chronicles Part 3: The Prelude to All Legends,2019,6,Korean,8.7,86,"Genres: Historical, Romance, Fantasy, Political","Original Network: Netflix, tvN",22342
First Love: Hatsukoi,2022,9,Japanese,8.7,87,"Genres: Romance, Drama, Melodrama",Original Network: Netflix,17226
Hometown Cha-Cha-Cha,2021,16,Korean,8.7,88,"Genres: Comedy, Romance, Life, Drama","Original Network: Netflix, tvN",100999
Under the Skin,2022,20,Chinese,8.7,89,"Genres: Thriller, Mystery","Original Network: iQiyi, Tencent Video",9923
I Am Nobody,2023,27,Chinese,8.7,90,"Genres: Comedy, Wuxia, Drama, Fantasy",Original Network: Youku,7135
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",2019,6,Korean,8.7,91,"Genres: Historical, Romance, Fantasy, Political","Original Network: Netflix, tvN",24998
Six Flying Dragons,2015,50,Korean,8.7,92,"Genres: Action, Historical, Drama, Political",Original Network: SBS,23700
The Penthouse: War in Life,2020,21,Korean,8.7,93,"Genres: Thriller, Mystery, Drama",Original Network: SBS,53259
Moon Lovers: Scarlet Heart Ryeo,2016,20,Korean,8.7,94,"Genres: Historical, Romance, Fantasy, Melodrama",Original Network: SBS,136016
The Penthouse Season 2: War in Life,2021,13,Korean,8.7,95,"Genres: Thriller, Mystery, Drama",Original Network: SBS,34871
Partners for Justice Season 2,2019,32,Korean,8.7,96,"Genres: Mystery, Law, Drama, Medical",Original Network: MBC,9949
While You Were Sleeping,2017,32,Korean,8.7,97,"Genres: Mystery, Romance, Drama, Supernatural",Original Network: SBS,152184
D.P. Season 2,2023,6,Korean,8.7,98,"Genres: Action, Military, Drama",Original Network: Netflix,18887
The Guest,2018,16,Korean,8.7,99,"Genres: Thriller, Mystery, Horror, Supernatural",Original Network: OCN,35128
Sweet Home,2020,10,Korean,8.7,100,"Genres: Action, Horror, Drama, Sci-Fi",Original Network: Netflix,90778
Our Beloved Summer,2021,16,Korean,8.7,101,"Genres: Romance, Life, Youth, Drama","Original Network: Netflix, SBS",81335
Ultimate Note,2020,37,Chinese,8.7,102,"Genres: Action, Adventure, Thriller, Mystery",Original Network: iQiyi,8737
Mystery to Iunakare,2022,12,Japanese,8.7,103,"Genres: Mystery, Psychological, Life, Drama",Original Network: Fuji TV,5739
The Long Ballad,2021,49,Chinese,8.7,104,"Genres: Action, Historical, Romance, War",Original Network: Tencent Video,27802
Strong Woman Do Bong Soon,2017,16,Korean,8.7,105,"Genres: Action, Comedy, Romance, Supernatural",Original Network: jTBC,202933
My Name,2021,8,Korean,8.7,106,"Genres: Action, Thriller, Mystery, Crime",Original Network: Netflix,82524
Defendant,2017,18,Korean,8.7,107,"Genres: Thriller, Mystery, Law, Drama",Original Network: SBS,29939
The King of Pigs,2022,12,Korean,8.7,108,"Genres: Thriller, Mystery, Drama",Original Network: TVING,13313
Revenant,2023,12,Korean,8.7,109,"Genres: Thriller, Mystery, Horror, Supernatural","Original Network: Disney+, SBS",23799
18 Again,2020,16,Korean,8.7,110,"Genres: Romance, Life, Drama, Fantasy",Original Network: jTBC,66119
Nirvana in Fire Season 2: The Wind Blows in Chang Lin,2017,50,Chinese,8.7,111,"Genres: Military, Wuxia, Drama, Political","Original Network: BTV, Dragon TV",7373
A Business Proposal,2022,12,Korean,8.7,112,"Genres: Comedy, Romance, Drama","Original Network: Netflix, SBS",129760
"Kill Me, Heal Me",2015,20,Korean,8.7,113,"Genres: Psychological, Comedy, Romance, Drama",Original Network: MBC,107431
Who Rules the World,2022,40,Chinese,8.7,114,"Genres: Romance, Wuxia, Fantasy",Original Network: Tencent Video,32902
One and Only,2021,24,Chinese,8.7,115,"Genres: Military, Romance, Wuxia, Political","Original Network: iQiyi, Tencent Video",17597
Unnatural,2018,10,Japanese,8.7,116,"Genres: Thriller, Mystery, Medical",Original Network: TBS,8883
Lighter & Princess,2022,36,Chinese,8.7,117,"Genres: Business, Romance, Youth, Drama",Original Network: Youku,27359
Lost You Forever,2023,39,Chinese,8.7,118,"Genres: Romance, Wuxia, Drama, Fantasy",Original Network: Tencent Video,12482
Dr. Romantic,2016,20,Korean,8.7,119,"Genres: Romance, Drama, Medical",Original Network: SBS,64752
New Life Begins,2022,40,Chinese,8.7,120,"Genres: Historical, Comedy, Romance, Life",Original Network: iQiyi,12832
The First Responders,2022,12,Korean,8.7,121,"Genres: Action, Thriller, Mystery, Drama","Original Network: DRAMAcube, ENA, SBS, SBS Plus",17297
Misaeng: Incomplete Life,2014,20,Korean,8.7,122,"Genres: Business, Life, Drama",Original Network: tvN,31740
Strangers from Hell,2019,10,Korean,8.7,123,"Genres: Thriller, Horror, Psychological, Drama",Original Network: OCN,63778
Hot Stove League,2019,16,Korean,8.7,124,"Genres: Drama, Sports, Melodrama",Original Network: SBS,24290
Chicago Typewriter,2017,16,Korean,8.7,125,"Genres: Comedy, Romance, Supernatural, Political",Original Network: tvN,60682
Jewel in the Palace,2003,54,Korean,8.7,126,"Genres: Food, Historical, Romance, Medical",Original Network: MBC,17859
Our Blues,2022,20,Korean,8.7,127,"Genres: Romance, Life, Drama, Melodrama","Original Network: Netflix, tvN",35571
The Kidnapping Day,2023,12,Korean,8.6,128,"Genres: Thriller, Mystery, Comedy, Drama",Original Network: ENA,7315
"3 Nen A Gumi: Ima kara Mina-san wa, Hitojichi Desu",2019,10,Japanese,8.6,129,"Genres: Action, Thriller, Mystery, Psychological",Original Network: NTV,16452
The Worst of Evil,2023,12,Korean,8.6,130,"Genres: Action, Thriller, Mystery, Crime","Original Network: Disney+, Hulu",23695
Hanzawa Naoki,2013,10,Japanese,8.6,131,"Genres: Thriller, Business, Drama",Original Network: TBS,7579
Battle of Changsha,2014,32,Chinese,8.6,132,"Genres: Military, Historical, Romance, War",Original Network: BTV,7679
