title,genres,network,watchers
"It's Okay, That's Friendship","Genres: Comedy, Life",na,1653
The Princess's Man,"Genres: Action, Historical, Romance, Political",Original Network: KBS2,21321
Voice Season 2,"Genres: Thriller, Mystery, Psychological, Supernatural",Original Network: OCN,14069
Forever and Ever,"Genres: Romance, Drama","Original Network: iQiyi, Tencent Video",17560
Liar Game 2,"Genres: Thriller, Psychological, Drama",Original Network: Fuji TV,12052
Recipe for Farewell,"Genres: Food, Life, Drama",na,3084
Doom at Your Service,"Genres: Comedy, Romance, Drama, Fantasy","Original Network: tvN, ViuTV",89551
F4 Thailand: Boys Over Flowers,"Genres: Comedy, Romance, Youth, Drama",Original Network: GMM 25,37073
Lost,"Genres: Life, Drama, Melodrama","Original Network: iQiyi, jTBC",13122
Happy Birthday,"Genres: Romance, Drama, Fantasy, Supernatural",Original Network: GMM 25,4583
Because This Is My First Life,"Genres: Comedy, Romance, Life, Drama",Original Network: tvN,104966
Dali and the Cocky Prince,"Genres: Comedy, Romance, Drama",Original Network: KBS2,43173
Seasons of Blossom,"Genres: Romance, Youth, Drama",na,12578
Koi wa Tsuzuku yo Doko Made mo,"Genres: Comedy, Romance, Drama, Medical",Original Network: TBS,30898
The Confidence Man JP,"Genres: Action, Comedy, Crime",Original Network: Fuji TV,2611
Kleun Cheewit,"Genres: Mystery, Romance, Drama, Melodrama",Original Network: Channel 3,13137
Lost Romance,"Genres: Mystery, Comedy, Romance, Fantasy",Original Network: SET TV,16409
Project S: Side by Side,"Genres: Youth, Sports, Melodrama",Original Network: GMM 25,4133
Crash Course in Romance,"Genres: Thriller, Mystery, Comedy, Romance","Original Network: Netflix, tvN",45259
Circle,"Genres: Thriller, Mystery, Sci-Fi",Original Network: tvN,28462
