title,year,episodes,country,viewer_score,rank
Jewel in the Palace,2003,54,Korean,8.7,126
Our Blues,2022,20,Korean,8.7,127
The Kidnapping Day,2023,12,Korean,8.6,128
"3 Nen A Gumi: Ima kara Mina-san wa, Hitojichi Desu",2019,10,Japanese,8.6,129
The Worst of Evil,2023,12,Korean,8.6,130
Hanzawa Naoki,2013,10,Japanese,8.6,131
Battle of Changsha,2014,32,Chinese,8.6,132
Bloodhounds,2023,8,Korean,8.6,133
Descendants of the Sun,2016,16,Korean,8.6,134
Glory of Special Forces,2022,45,Chinese,8.6,135
Hotel del Luna,2019,16,Korean,8.6,136
Winter Begonia,2020,49,Chinese,8.6,137
My Journey to You,2023,24,Chinese,8.6,138
Falling Into Your Smile,2021,31,Chinese,8.6,139
The Bad Kids,2020,12,Chinese,8.6,140
Till the End of the Moon,2023,40,Chinese,8.6,141
Tunnel,2017,16,Korean,8.6,142
You Are My Hero,2021,40,Chinese,8.6,143
The Fiery Priest,2019,40,Korean,8.6,144
My Perfect Stranger,2023,16,Korean,8.6,145
Mother,2010,11,Japanese,8.6,146
Missing: The Other Side,2020,12,Korean,8.6,147
Live,2018,18,Korean,8.6,148
Project S: Skate Our Souls,2017,8,Thai,8.6,149
My Liberation Notes,2022,16,Korean,8.6,150
"It's Okay, That's Love",2014,16,Korean,8.6,151
Law School,2021,16,Korean,8.6,152
Perfect Marriage Revenge,2023,12,Korean,8.6,153
Cross Fire,2020,36,Chinese,8.6,154
Children of Nobody,2018,32,Korean,8.6,155
Vigilante,2023,8,Korean,8.6,156
Love Destiny,2018,15,Thai,8.6,157
Once Again,2020,100,Korean,8.6,158
Kazoku Game,2013,10,Japanese,8.6,159
Castaway Diva,2023,12,Korean,8.5,160
Lovely Us,2020,16,Chinese,8.6,161
Ghost Doctor,2022,16,Korean,8.6,162
The Starry Love,2023,40,Chinese,8.6,163
The Romance of Tiger and Rose,2020,24,Chinese,8.6,164
Eternal Love of Dream,2020,56,Chinese,8.6,165
Ashes of Love,2018,63,Chinese,8.6,166
Juvenile Justice,2022,10,Korean,8.6,167
Word of Honor,2021,36,Chinese,8.6,168
Go Back Couple,2017,12,Korean,8.6,169
Tenno no Ryoriban,2015,12,Japanese,8.6,170
Eulachacha Waikiki,2018,20,Korean,8.6,171
Shining for One Thing,2022,24,Chinese,8.6,172
Empress Ki,2013,51,Korean,8.6,173
The Gifted,2018,13,Thai,8.6,174
Good Manager,2017,20,Korean,8.6,175
Beautiful World,2019,16,Korean,8.5,176
Big Mouth,2022,16,Korean,8.5,177
Money Heist: Korea - Joint Economic Area - Part 2,2022,6,Korean,8.5,178
The Bridal Mask,2012,28,Korean,8.5,179
Stranger Season 2,2020,16,Korean,8.5,180
Cruel City,2013,20,Korean,8.5,181
Ancient Love Poetry,2021,49,Chinese,8.5,182
Forever Love,2020,28,Chinese,8.5,183
My Father Is Strange,2017,52,Korean,8.5,184
Duty After School: Part 1,2023,6,Korean,8.5,185
Avengers Social Club,2017,12,Korean,8.5,186
Nobody Knows,2020,16,Korean,8.5,187
In Family We Trust,2018,18,Thai,8.5,188
Love to Hate You,2023,10,Korean,8.5,189
MIU 404,2020,11,Japanese,8.5,190
Designated Survivor: 60 Days,2019,16,Korean,8.5,191
Reborn Rich,2022,16,Korean,8.5,192
Silent,2022,11,Japanese,8.5,193
Enigma,2023,4,Thai,8.5,194
Age of Youth,2016,12,Korean,8.5,195
Boku no Ita Jikan,2014,11,Japanese,8.5,196
Our Secret,2021,24,Chinese,8.5,197
Wonderland of Love,2023,40,Chinese,8.5,198
Bad and Crazy,2021,12,Korean,8.5,199
Legend of Concubine Zhen Huan,2012,76,Chinese,8.5,200
Rebel: Thief Who Stole the People,2017,30,Korean,8.5,201
Just Between Lovers,2017,16,Korean,8.5,202
My Love from the Star,2013,21,Korean,8.5,203
Reunion: The Sound of the Providence Season 2,2020,30,Chinese,8.5,204
Arthdal Chronicles Part 1: The Children of Prophecy,2019,6,Korean,8.5,205
The Longest Day in Chang'an,2019,48,Chinese,8.5,206
Not Me,2021,14,Thai,8.5,207
365: Repeat the Year,2020,24,Korean,8.5,208
A Tale of Thousand Stars,2021,10,Thai,8.5,209
Little Women,2022,12,Korean,8.5,210
Revenge of Others,2022,12,Korean,8.5,211
Brush Up Life,2023,10,Japanese,8.5,212
The King’s Avatar,2019,40,Chinese,8.5,213
The Long Night,2020,12,Chinese,8.5,214
My Little Happiness,2021,28,Chinese,8.5,215
Mystic Pop-Up Bar,2020,12,Korean,8.5,216
Queen Seon Deok,2009,62,Korean,8.5,217
Bad Guys,2014,11,Korean,8.5,218
The Master's Sun,2013,17,Korean,8.5,219
What's Wrong with Secretary Kim,2018,16,Korean,8.5,220
Blind,2022,16,Korean,8.5,221
Tonbi,2013,10,Japanese,8.5,222
