title,genres,network,watchers
Just Between Lovers,"Genres: Psychological, Romance, Melodrama",Original Network: jTBC,81850
My Love from the Star,"Genres: Comedy, Romance, Drama, Supernatural",Original Network: SBS,146066
Reunion: The Sound of the Providence Season 2,"Genres: Adventure, Thriller, Mystery, Fantasy",Original Network: iQiyi,3397
Arthdal Chronicles Part 1: The Children of Prophecy,"Genres: Historical, Romance, Fantasy, Political","Original Network: Netflix, tvN",35485
The Longest Day in Chang'an,"Genres: Action, Thriller, Historical, Political",Original Network: Youku,5254
Not Me,"Genres: Action, Thriller, Mystery, Romance",Original Network: GMM 25,46319
365: Repeat the Year,"Genres: Thriller, Mystery, Drama, Fantasy",Original Network: MBC,25568
Rebel: Thief Who Stole the People,"Genres: Action, Thriller, Historical, Romance",Original Network: MBC,17082
A Tale of Thousand Stars,"Genres: Romance, Drama",Original Network: GMM 25,46811
Little Women,"Genres: Action, Thriller, Mystery, Drama","Original Network: Netflix, tvN",47546
Revenge of Others,"Genres: Action, Thriller, Mystery, Drama","Original Network: Disney+, Hulu",35741
Brush Up Life,"Genres: Comedy, Life, Fantasy",Original Network: NTV,2502
The King’s Avatar,"Genres: Action, Youth, Sports",Original Network: Tencent Video,33049
The Long Night,"Genres: Thriller, Mystery, Drama",Original Network: iQiyi,3770
My Little Happiness,"Genres: Comedy, Law, Romance, Drama",Original Network: Tencent Video,32861
Mystic Pop-Up Bar,"Genres: Mystery, Comedy, Drama, Fantasy","Original Network: jTBC, Netflix",50776
Queen Seon Deok,"Genres: Historical, Romance, Drama, Political",Original Network: MBC,12506
Bad Guys,"Genres: Action, Thriller, Psychological, Crime",Original Network: OCN,33777
The Master's Sun,"Genres: Horror, Comedy, Romance, Supernatural",Original Network: SBS,83092
What's Wrong With Secratary Kim,"Genres: Business, Comedy, Romance",Original Network: tvN,176297
