title,year,episodes,country,viewer_score,rank,genres,network,watchers,Crime,Sci-Fi,Wuxia,Youth,Medical,Psychological,Historical,Romance,Military,Music,Business,Thriller,Fantasy,Sports,Melodrama,Supernatural,Family,Tokusatsu,Law,Mystery,Adventure,Food,Horror,Life,Sitcom,Comedy,Political,Drama,Mature,Action,War,Netflix,tvN,jTBC,TBS,JSTV,Viki,WeTV,TVK,GDTV,NTV,MBS,Naver TV Cast,TV Asahi,LINE TV,Hunan TV,Genie TV,BS-TBS,SBS Plus,NHK,CCTV,Daum Kakao TV,WOWOW,Tencent Video,Dragon TV,Amazon Prime,ZJTV,ENA,PTS,PPTV,COUPANG TV,ViuTV,KBS2,Mango TV,CTV,Youku,SBS,DRAMAcube,GMM 25,True4U,OCN,MBC,Channel 3,SET TV,Sohu TV,Channel A,Hulu,Disney+,TVING,TTV,MBN,iQiyi,GMM One,Fuji TV,BTV
My Mister,2018,16,Korean,9.0,13,"Psychological,Life,Drama",tvN,70199,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 Litre no Namida,2005,11,Japanese,9.0,14,"Romance,Drama,Melodrama",Fuji TV,38198,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Love Like the Galaxy: Part 2,2022,29,Chinese,9.0,15,"Historical,Mystery,Romance,Political","Dragon TV, iQiyi, Tencent Video",23326,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mysterious Lotus Casebook,2023,40,Chinese,9.0,16,"Mystery,Wuxia","CCTV, iQiyi",10840,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Joy of Life,2019,46,Chinese,9.0,17,"Mystery,Romance,Wuxia,Fantasy","iQiyi, Tencent Video",23094,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Under the Queen's Umbrella,2022,16,Korean,9.0,18,"Historical,Comedy,Drama,Political","Netflix, tvN",27926,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Untamed,2019,50,Chinese,9.0,19,"Mystery,Wuxia,Fantasy",Tencent Video,91633,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
When I Fly Towards You,2023,24,Chinese,9.0,20,"Comedy,Romance,Youth",Youku,30519,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Someday or One Day,2019,13,Taiwanese,9.0,21,"Thriller,Romance,Sci-Fi",CTV,27245,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Glory Part 2,2023,8,Korean,9.0,22,"Thriller,Drama,Melodrama",Netflix,55074,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
