title,genres,network,watchers
Medical Examiner Dr. Qin,"Genres: Mystery, Drama, Medical",Original Network: Sohu TV,7111
Unforgettable Love,"Genres: Comedy, Romance, Drama",Original Network: Mango TV,35721
Snowdrop,"Genres: Romance, Drama, Melodrama, Political",Original Network: jTBC,57820
If You Wish Upon Me,"Genres: Romance, Life, Drama, Medical","Original Network: KBS2, ViuTV",26253
Under the Power,"Genres: Mystery, Comedy, Romance, Wuxia","Original Network: iQiyi, Mango TV",13210
Fall in Love,"Genres: Historical, Mystery, Romance, Political",Original Network: Youku,14175
The World of the Married,"Genres: Thriller, Romance, Drama, Melodrama",Original Network: jTBC,43420
Hi Venus,"Genres: Comedy, Romance, Life",Original Network: Youku,10785
Love All Play,"Genres: Romance, Drama, Sports, Melodrama",Original Network: KBS2,28938
The Rise of Phoenixes,"Genres: Historical, Romance, Melodrama, Political",Original Network: Hunan TV,12569
My Unfamiliar Family,"Genres: Life, Drama",Original Network: tvN,9553
Extracurricular,"Genres: Psychological, Crime, Youth, Drama",Original Network: Netflix,71513
The Blue Whisper: Part 1,"Genres: Romance, Wuxia, Fantasy",Original Network: Youku,14529
Ever Night,"Genres: Romance, Wuxia, Drama, Fantasy",Original Network: Tencent Video,14749
Immortal Samsara: Part 1,"Genres: Romance, Wuxia, Drama, Fantasy",Original Network: Youku,14673
A Time Called You,"Genres: Thriller, Mystery, Romance, Fantasy",Original Network: Netflix,31881
The Crowned Clown,"Genres: Historical, Romance, Melodrama, Political",Original Network: tvN,28579
Love Scenery,"Genres: Music, Comedy, Romance","Original Network: iQiyi, Tencent Video, Youku",29402
Kaizoku Sentai Gokaiger,"Genres: Action, Adventure, Tokusatsu, Sci-Fi",Original Network: TV Asahi,2121
Hello Monster,"Genres: Thriller, Mystery, Psychological, Drama",Original Network: KBS2,58815
