title,genres,network,watchers
To the Moon and Back,"Genres: Romance, Life",Original Network: Channel 3,2344
Immortal Samsara: Part 2,"Genres: Romance, Wuxia, Drama, Fantasy",Original Network: Youku,7688
Bad Buddy,"Genres: Comedy, Romance, Youth","Original Network: GMM 25, WeTV",54840
"Work Later, Drink Now","Genres: Comedy, Life, Drama",Original Network: TVING,17085
See You in My 19th Life,"Genres: Comedy, Romance, Drama, Fantasy","Original Network: Netflix, TVING, tvN",47785
Angel's Last Mission: Love,"Genres: Comedy, Romance, Drama, Fantasy",Original Network: KBS2,81708
Skate Into Love,"Genres: Comedy, Romance, Youth, Sports","Original Network: LINE TV, Youku",31521
Sweet Teeth,"Genres: Comedy, Romance, Drama, Medical",Original Network: iQiyi,19545
Put Your Head on My Shoulder,"Genres: Comedy, Romance, Life, Youth",Original Network: Tencent Video,69236
The Rebel Princess,"Genres: Historical, Romance, Drama, Melodrama",Original Network: Youku,8482
Boku Dake ga Inai Machi,"Genres: Thriller, Mystery, Drama, Supernatural",Original Network: Netflix,13413
Fake It Till You Make It,"Genres: Business, Romance, Drama","Original Network: Hunan TV, Mango TV",5631
When the Camellia Blooms,"Genres: Thriller, Comedy, Romance, Drama","Original Network: KBS2, Netflix",58282
Kono Sekai no Katasumi ni,"Genres: Historical, Romance, Life, War",Original Network: TBS,2259
dele,"Genres: Mystery, Business, Drama",Original Network: TV Asahi,4636
Pachinko,"Genres: Historical, Romance, Drama, Melodrama",na,16677
Moon Embracing the Sun,"Genres: Historical, Romance, Supernatural, Political",Original Network: MBC,56261
Queen In Hyun's Man,"Genres: Historical, Comedy, Romance, Fantasy",Original Network: tvN,49080
Yumi's Cells,"Genres: Psychological, Comedy, Romance, Drama","Original Network: TVING, tvN",41505
Crush,"Genres: Romance, Life, Youth, Drama",Original Network: iQiyi,26334
