title,genres,network,watchers
The Sound of Your Heart,"Genres: Comedy, Life, Sitcom",Original Network: Naver TV Cast,18371
Money Heist: Korea - Joint Economic Area - Part 1,"Genres: Action, Thriller, Mystery, Crime",Original Network: Netflix,28375
Graceful Family,"Genres: Thriller, Mystery, Drama, Melodrama",Original Network: MBN,23606
Oh My Ghost,"Genres: Thriller, Comedy, Romance, Supernatural",Original Network: tvN,92666
Ping Pong Life,"Genres: Youth, Drama, Sports",Original Network: iQiyi,3166
Nagi no Oitoma,"Genres: Romance, Life",Original Network: TBS,3238
Triage,"Genres: Thriller, Romance, Medical, Fantasy",na,19788
Detective L,"Genres: Thriller, Historical, Mystery, Comedy",na,5035
Tokyo MER: Hashiru Kinkyuukyuumeishitsu,"Genres: Thriller, Drama, Medical",Original Network: TBS,1298
They Kiss Again,"Genres: Comedy, Romance, Life, Medical",Original Network: CTV,13775
Shinya Shokudo 2,"Genres: Food, Life, Drama","Original Network: MBS, TBS",1680
Here We Meet Again,"Genres: Comedy, Romance",Original Network: Tencent Video,14317
Code Blue Season 2,"Genres: Drama, Medical",Original Network: Fuji TV,5667
Shinya Shokudo,"Genres: Food, Comedy, Life","Original Network: MBS, TBS",3215
The King's Affection,"Genres: Historical, Romance, Drama","Original Network: KBS2, Netflix",45270
"Ashita, Mama ga Inai","Genres: Life, Youth, Drama, Family",Original Network: NTV,3319
Bokura no Shokutaku,"Genres: Food, Romance, Life, Family",Original Network: BS-TBS,13653
Ore no Hanashi wa Nagai,"Genres: Comedy, Life, Drama, Family",Original Network: NTV,3156
"My Love, Enlighten Me","Genres: Comedy, Romance, Life",Original Network: Tencent Video,16033
The Lost Tomb 2,"Genres: Action, Adventure, Mystery, Supernatural",Original Network: Tencent Video,5426
