title,genres,network,watchers
God's Gift: 14 Days,"Genres: Thriller, Mystery, Drama, Supernatural",Original Network: SBS,15752
He Is Psychometric,"Genres: Thriller, Mystery, Romance, Supernatural",Original Network: tvN,83400
Confession,"Genres: Thriller, Mystery, Law, Drama",Original Network: tvN,11932
Psychopath Diary,"Genres: Thriller, Mystery, Comedy, Crime",Original Network: tvN,30648
City Hunter,"Genres: Action, Thriller, Crime",Original Network: SBS,84853
Kounodori,"Genres: Music, Life, Drama, Medical",Original Network: TBS,3313
True Beauty,"Genres: Comedy, Romance, Youth, Drama",Original Network: tvN,124348
Tengoku to Jigoku: Psychona Futari,"Genres: Mystery, Comedy, Drama, Supernatural",Original Network: TBS,3721
Kamen Rider Build,"Genres: Action, Tokusatsu, Sci-Fi, War",Original Network: TV Asahi,2617
The Beauty Inside,"Genres: Comedy, Romance, Melodrama, Supernatural",Original Network: jTBC,77033
Hit the Spot,"Genres: Romance, Drama, Mature",Original Network: COUPANG TV,11400
The Youth Memories,"Genres: Romance, Life, Youth, Drama","Original Network: CCTV, Dragon TV, Tencent Video",4733
JIN,"Genres: Historical, Sci-Fi, Medical",Original Network: TBS,4878
Perfect and Casual,"Genres: Comedy, Romance, Drama",Original Network: Mango TV,34882
Call It Love,"Genres: Romance, Drama, Melodrama","Original Network: Disney+, Hulu",24332
We Best Love: No. 1 For You,"Genres: Romance, Youth, Drama",Original Network: Tencent Video,46106
Bloody Monday,"Genres: Action, Thriller, Mystery, Crime",Original Network: TBS,14819
Nobunaga Concerto,"Genres: Action, Military, Historical, Comedy",Original Network: Fuji TV,9166
High&Low: The Story of S.W.O.R.D.,"Genres: Action, Crime, Youth",Original Network: NTV,5880
Celebrity,"Genres: Thriller, Mystery, Drama",Original Network: Netflix,33279
