title,genres,network,watchers
Time and Him Are Just Right,"Genres: Romance, Youth",Original Network: Tencent Video,11259
Mad for Each Other,"Genres: Comedy, Romance, Drama","Original Network: Daum Kakao TV, Netflix",32548
Love Is Sweet,"Genres: Business, Comedy, Romance",Original Network: iQiyi,40557
The Imperial Coroner,"Genres: Historical, Mystery, Romance, Medical",Original Network: Tencent Video,11104
The First Responders Season 2,"Genres: Action, Thriller, Mystery, Drama","Original Network: ENA, SBS, SBS Plus",7912
A Murderous Affair in Horizon Tower,"Genres: Thriller, Mystery, Drama",Original Network: Tencent Video,3995
Legally Romance,"Genres: Comedy, Law, Romance, Fantasy",Original Network: Tencent Video,11812
