title,genres,network,watchers
Doctor Prisoner,"Genres: Thriller, Law, Crime, Medical",Original Network: KBS2,22358
Voice Season 3: City of Accomplices,"Genres: Thriller, Mystery, Psychological, Supernatural",Original Network: OCN,9398
My Roommate Is a Gumiho,"Genres: Comedy, Romance, Fantasy","Original Network: iQiyi, tvN",76927
The Veil,"Genres: Action, Thriller, Mystery, Crime",Original Network: MBC,16837
Ugly Alert,"Genres: Business, Romance, Melodrama",Original Network: SBS,8303
The Forbidden Flower,"Genres: Romance, Melodrama",Original Network: Tencent Video,6936
Player,"Genres: Action, Thriller, Mystery, Comedy",Original Network: OCN,19654
The Warp Effect,"Genres: Mystery, Comedy, Romance, Supernatural",Original Network: GMM 25,12669
Scent of Time,"Genres: Historical, Romance, Drama, Fantasy",Original Network: Youku,5150
Come and Hug Me,"Genres: Thriller, Mystery, Romance, Melodrama",Original Network: MBC,49812
Search: WWW,"Genres: Business, Comedy, Romance, Drama",Original Network: tvN,61324
I Don't Want to Be Friends With You,"Genres: Comedy, Romance, Youth, Fantasy",Original Network: Mango TV,4802
Yumi's Cells Season 2,"Genres: Comedy, Romance, Life",Original Network: TVING,22397
Nine: Nine Times Time Travel,"Genres: Mystery, Romance, Supernatural",Original Network: tvN,16324
Nijiiro Karute,"Genres: Comedy, Life, Medical",Original Network: TV Asahi,1814
Bitter Blood,"Genres: Action, Mystery, Comedy",Original Network: Fuji TV,9093
A Little Reunion,"Genres: Life, Youth, Drama","Original Network: Dragon TV, iQiyi, ZJTV",2272
Good Doctor,"Genres: Romance, Life, Drama, Medical",Original Network: KBS2,42036
Moonlight,"Genres: Business, Comedy, Romance, Drama",Original Network: iQiyi,20296
Moonlight Chicken,"Genres: Food, Romance, Life",Original Network: Disney+,29042
