title,genres,network,watchers
Extraordinary You,"Genres: Comedy, Romance, Youth, Fantasy",Original Network: MBC,110662
Mad Dog,"Genres: Action, Thriller, Mystery",Original Network: KBS2,32177
99.9: Keiji Senmon Bengoshi Season 2,"Genres: Mystery, Comedy, Law",Original Network: TBS,2650
A Familiar Stranger,"Genres: Historical, Romance, Supernatural",Original Network: Mango TV,6662
Amanza,"Genres: Adventure, Life, Fantasy, Melodrama",Original Network: Daum Kakao TV,4380
Military Prosecutor Doberman,"Genres: Action, Military, Mystery, Law",Original Network: tvN,22390
Maiden Holmes,"Genres: Historical, Mystery, Comedy, Romance",Original Network: Tencent Video,13667
Soundtrack #1,"Genres: Music, Romance",Original Network: Disney+,39563
Secret,"Genres: Romance, Drama, Melodrama",Original Network: KBS2,35411
JIN Season 2,"Genres: Historical, Sci-Fi, Medical",Original Network: TBS,2554
The Uncanny Counter Season 2: Counter Punch,"Genres: Action, Mystery, Comedy, Supernatural","Original Network: Netflix, OCN, tvN",33443
Love and Destiny,"Genres: Romance, Wuxia, Drama, Fantasy","Original Network: iQiyi, Viki",13942
A River Runs Through It,"Genres: Comedy, Romance, Life, Youth",Original Network: Youku,16936
N no Tame ni,"Genres: Mystery, Romance, Drama",Original Network: TBS,5258
Love Me If You Dare,"Genres: Thriller, Mystery, Psychological, Romance",Original Network: Dragon TV,33864
Birthcare Center,"Genres: Comedy, Life, Drama, Melodrama",Original Network: tvN,9573
Sell Your Haunted House,"Genres: Thriller, Mystery, Comedy, Fantasy",Original Network: KBS2,26351
Tale of the Nine-Tailed,"Genres: Thriller, Horror, Romance, Fantasy",Original Network: tvN,92409
Justice in the Dark,"Genres: Action, Thriller, Mystery, Psychological",Original Network: Youku,6781
Side Story of Fox Volant,"Genres: Wuxia, Drama",Original Network: Tencent Video,3650
